Gene ID;source_id;Organism;Product Description;Gene Name or Symbol;Computed GO Components;Computed GO Function IDs;Computed GO Functions;Computed GO Process IDs;Computed GO Processes;Curated GO Component IDs;Curated GO Components;Curated GO Function IDs;Curated GO Functions;Curated GO Process IDs;Curated GO Processes;Computed GO Component IDs
PF3D7_0731200;PF3D7_0731200.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function;null;null;null;null;null;null;"GO:0020036;GO:0043657";"Maurer's cleft;host cell";null;null;null;null;null
PF3D7_0731800;PF3D7_0731800.1;Plasmodium falciparum 3D7;alpha/beta hydrolase, putative;GEXP08;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0732000;PF3D7_0732000.1;Plasmodium falciparum 3D7;stevor;null;membrane;null;null;null;null;GO:0020036;Maurer's cleft;null;null;GO:0020013;modulation by symbiont of host erythrocyte aggregation;GO:0016020
PF3D7_0732300;PF3D7_0732300.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;"GO:0020036;GO:0020002;GO:0020003";"Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole";null;null;"GO:0020033;GO:0020035;GO:0020013";"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation";null
PF3D7_0732400;PF3D7_0732400.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;"GO:0020036;GO:0020002;GO:0020003";"Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole";null;null;"GO:0020033;GO:0020035;GO:0020013";"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation";null
PF3D7_0523600;PF3D7_0523600.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_0523700;PF3D7_0523700.1;Plasmodium falciparum 3D7;conserved Plasmodium membrane protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0524000;PF3D7_0524000.1;Plasmodium falciparum 3D7;karyopherin beta;KASbeta;null;GO:0005488;binding;null;null;"GO:0036396;GO:0005737;GO:0020020;GO:0005643;GO:0044613;GO:0005634";"RNA N6-methyladenosine methyltransferase complex;cytoplasm;food vacuole;nuclear pore;nuclear pore central transport channel;nucleus";GO:0019904;protein domain specific binding;"GO:0006607;GO:0006913";"NLS-bearing protein import into nucleus;nucleocytoplasmic transport";null
PF3D7_0524200;PF3D7_0524200.1;Plasmodium falciparum 3D7;conserved Plasmodium membrane protein, unknown function;null;"integral component of membrane;membrane";null;null;null;null;null;null;null;null;null;null;"GO:0016021;GO:0016020"
PF3D7_0524300;PF3D7_0524300.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0524400;PF3D7_0524400.1;Plasmodium falciparum 3D7;ribosome-interacting GTPase 1, putative;RBG1;null;GO:0005525;GTP binding;null;null;GO:0005634;nucleus;null;null;null;null;null
PF3D7_0524600;PF3D7_0524600.1;Plasmodium falciparum 3D7;50S ribosomal protein L12, apicoplast, putative;null;"intracellular;ribosome";GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0020011;GO:0015934";"apicoplast;large ribosomal subunit";GO:0003735;structural constituent of ribosome;GO:0006412;translation;"GO:0005622;GO:0005840"
PF3D7_0525000;PF3D7_0525000.1;Plasmodium falciparum 3D7;zinc finger protein, putative;null;null;GO:0046872;metal ion binding;null;null;"GO:0005829;GO:0005634";"cytosol;nucleus";null;null;null;null;null
PF3D7_0525700;PF3D7_0525700.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;null;null;null;null;null;GO:0020011;apicoplast;null;null;null;null;null
PF3D7_0527800;PF3D7_0527800.1;Plasmodium falciparum 3D7;tRNA Leucine;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0528300;PF3D7_0528300.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;"cytoplasm;nucleus";GO:0046872;metal ion binding;null;null;null;null;null;null;null;null;"GO:0005737;GO:0005634"
PF3D7_0529400;PF3D7_0529400.2;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0529600;PF3D7_0529600.1;Plasmodium falciparum 3D7;tRNA Arginine;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0529700;PF3D7_0529700.1;Plasmodium falciparum 3D7;heptatricopeptide repeat-containing protein, putative;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_0530000;PF3D7_0530000.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;nucleus;null;null;null;null;null;null;null;null;null;null;GO:0005634
PF3D7_0530100;PF3D7_0530100.1;Plasmodium falciparum 3D7;SNARE protein, putative;SYN6;null;null;null;null;null;GO:0031201;SNARE complex;GO:0005484;SNAP receptor activity;"GO:0006886;GO:0031338;GO:0016192";"intracellular protein transport;regulation of vesicle fusion;vesicle-mediated transport";null
PF3D7_0530400;PF3D7_0530400.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;membrane;null;null;null;null;null;null;null;null;null;null;GO:0016020
PF3D7_0530500;PF3D7_0530500.1;Plasmodium falciparum 3D7;conserved Plasmodium membrane protein, unknown function;null;null;"GO:0005524;GO:0004714";"ATP binding;transmembrane receptor protein tyrosine kinase activity";"GO:0006468;GO:0007169";"protein phosphorylation;transmembrane receptor protein tyrosine kinase signaling pathway";GO:0016021;integral component of membrane;null;null;null;null;null
PF3D7_0530600;PF3D7_0530600.1;Plasmodium falciparum 3D7;XAP-5 DNA binding protein, putative;null;nucleus;null;null;null;null;GO:0005634;nucleus;null;null;null;null;GO:0005634
PF3D7_0531600;PF3D7_0531600.1;Plasmodium falciparum 3D7;18S ribosomal RNA;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0532600;PF3D7_0532600.1;Plasmodium falciparum 3D7;Plasmodium exported protein, unknown function;null;null;null;null;null;null;"GO:0020036;GO:0044164";"Maurer's cleft;host cell cytosol";null;null;null;null;null
PF3D7_0600600;PF3D7_0600600.1;Plasmodium falciparum 3D7;erythrocyte membrane protein 1 (PfEMP1), exon 2;VAR;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0600700;PF3D7_0600700.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;"GO:0020036;GO:0020002;GO:0020003";"Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole";null;null;"GO:0020033;GO:0020035;GO:0020013";"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation";null
PF3D7_0600800;PF3D7_0600800.1;Plasmodium falciparum 3D7;rifin, pseudogene;RIF;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0601100;PF3D7_0601100.1;Plasmodium falciparum 3D7;exported protein family 3;EPF3;null;null;null;null;null;GO:0020036;Maurer's cleft;null;null;null;null;null
PF3D7_0601200;PF3D7_0601200.1;Plasmodium falciparum 3D7;Pfmc-2TM Maurer's cleft two transmembrane protein;MC-2TM;null;null;null;null;null;GO:0020036;Maurer's cleft;null;null;null;null;null
PF3D7_0601400;PF3D7_0601400.1;Plasmodium falciparum 3D7;erythrocyte membrane protein 1 (PfEMP1), pseudogene;VAR;integral component of membrane;GO:0046789;host cell surface receptor binding;GO:0009405;pathogenesis;null;null;null;null;null;null;GO:0016021
PF3D7_0601600;PF3D7_0601600.1;Plasmodium falciparum 3D7;tetratricopeptide repeat protein, putative;null;null;GO:0005515;protein binding;null;null;null;null;null;null;null;null;null
PF3D7_0601700;PF3D7_0601700.1;Plasmodium falciparum 3D7;Plasmodium exported protein (PHISTa), unknown function, pseudogene;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0602000;PF3D7_0602000.1;Plasmodium falciparum 3D7;zinc finger protein, putative;null;null;GO:0046872;metal ion binding;null;null;null;null;null;null;null;null;null
PF3D7_0602300;PF3D7_0602300.1;Plasmodium falciparum 3D7;liver merozoite formation protein, putative;PALM;null;GO:0016740;transferase activity;null;null;GO:0020011;apicoplast;null;null;null;null;null
PF3D7_0602500;PF3D7_0602500.1;Plasmodium falciparum 3D7;geranylgeranyl transferase type-2 subunit beta, putative;null;null;GO:0003824;catalytic activity;null;null;GO:0005968;Rab-protein geranylgeranyltransferase complex;GO:0004663;Rab geranylgeranyltransferase activity;GO:0018344;protein geranylgeranylation;null
PF3D7_0602600;PF3D7_0602600.1;Plasmodium falciparum 3D7;SAC3 domain-containing protein, putative;null;"integral component of membrane;plasma membrane";"GO:0008233;GO:0004252";"peptidase activity;serine-type endopeptidase activity";GO:0006508;proteolysis;GO:0005634;nucleus;null;null;null;null;"GO:0016021;GO:0005886"
PF3D7_0602900;PF3D7_0602900.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0603000;PF3D7_0603000.1;Plasmodium falciparum 3D7;SDE2 domain-containing protein, putative;null;null;null;null;null;null;GO:0005634;nucleus;null;null;null;null;null
PF3D7_0603200;PF3D7_0603200.1;Plasmodium falciparum 3D7;mitochondrial chaperone BCS1, putative;BCS1;null;GO:0005524;ATP binding;GO:0034551;mitochondrial respiratory chain complex III assembly;GO:0005743;mitochondrial inner membrane;GO:0016887;ATPase activity;GO:0051131;chaperone-mediated protein complex assembly;null
PF3D7_0603600;PF3D7_0603600.1;Plasmodium falciparum 3D7;AT-rich interactive domain-containing protein, putative;null;"intracellular;nucleus";GO:0003677;DNA binding;GO:0006355;regulation of transcription, DNA-templated;null;null;null;null;null;null;"GO:0005622;GO:0005634"
PF3D7_0604100;PF3D7_0604100.1;Plasmodium falciparum 3D7;AP2 domain transcription factor;SIP2;null;null;null;null;null;"GO:0034399;GO:0005634";"nuclear periphery;nucleus";"GO:0043565;GO:0042162";"sequence-specific DNA binding;telomeric DNA binding";null;null;null
PF3D7_0604200;PF3D7_0604200.1;Plasmodium falciparum 3D7;ribosomal protein L41, mitochondrial, putative;null;null;null;null;null;null;GO:0005739;mitochondrion;null;null;null;null;null
PF3D7_0604600;PF3D7_0604600.1;Plasmodium falciparum 3D7;DNA helicase, putative;null;null;"GO:0005524;GO:0004519;GO:0003676";"ATP binding;endonuclease activity;nucleic acid binding";null;null;null;null;null;null;null;null;null
PF3D7_0605100;PF3D7_0605100.1;Plasmodium falciparum 3D7;RNA-binding protein, putative;null;null;"GO:0003723;GO:0003676";"RNA binding;nucleic acid binding";null;null;GO:0005634;nucleus;GO:0003723;RNA binding;null;null;null
PF3D7_0605600;PF3D7_0605600.1;Plasmodium falciparum 3D7;nucleoside diphosphate kinase, putative;null;null;null;null;GO:0006165;nucleoside diphosphate phosphorylation;null;null;GO:0004550;nucleoside diphosphate kinase activity;"GO:0006241;GO:0006183;GO:0006228";"CTP biosynthetic process;GTP biosynthetic process;UTP biosynthetic process";null
PF3D7_0605700;PF3D7_0605700.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0606200;PF3D7_0606200.1;Plasmodium falciparum 3D7;ubiquitin-conjugating enzyme E2 PEX4, putative;PEX4;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0606600;PF3D7_0606600.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;cytoplasm;"GO:0005524;GO:0005515";"ATP binding;protein binding";null;null;GO:0005634;nucleus;null;null;null;null;GO:0005737
PF3D7_0607300;PF3D7_0607300.1;Plasmodium falciparum 3D7;uroporphyrinogen III decarboxylase;UROD;null;GO:0004853;uroporphyrinogen decarboxylase activity;GO:0006779;porphyrin-containing compound biosynthetic process;GO:0020011;apicoplast;null;null;GO:0006783;heme biosynthetic process;null
PF3D7_0607400;PF3D7_0607400.1;Plasmodium falciparum 3D7;G-protein associated signal transduction protein, putative;null;integral component of membrane;null;null;null;null;GO:0016021;integral component of membrane;null;null;null;null;GO:0016021
PF3D7_0607500;PF3D7_0607500.1;Plasmodium falciparum 3D7;4-hydroxybenzoate polyprenyltransferase, putative;COQ2;integral component of membrane;GO:0016765;transferase activity, transferring alkyl or aryl (other than methyl) groups;null;null;"GO:0032592;GO:0005739";"integral component of mitochondrial membrane;mitochondrion";GO:0008412;4-hydroxybenzoate octaprenyltransferase activity;GO:0006744;ubiquinone biosynthetic process;GO:0016021
PF3D7_0607700;PF3D7_0607700.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"collagen trimer;cytoplasm;extracellular region";GO:0005201;extracellular matrix structural constituent;"GO:0007155;GO:0006817";"cell adhesion;phosphate ion transport";null;null;null;null;null;null;"GO:0005581;GO:0005737;GO:0005576"
PF3D7_0607800;PF3D7_0607800.1;Plasmodium falciparum 3D7;GTP-binding protein, putative;null;null;"GO:0005525;GO:0003924";"GTP binding;GTPase activity";GO:0006400;tRNA modification;null;null;null;null;null;null;null
PF3D7_0608000;PF3D7_0608000.1;Plasmodium falciparum 3D7;diphthine methyltransferase, putative;DPH7;null;GO:0005515;protein binding;null;null;"GO:0005737;GO:0005768";"cytoplasm;endosome";GO:0032451;demethylase activity;GO:0070988;demethylation;null
PF3D7_0608700;PF3D7_0608700.1;Plasmodium falciparum 3D7;T-complex protein 1 subunit zeta;CCT6;null;"GO:0005524;GO:0051082";"ATP binding;unfolded protein binding";GO:0006457;protein folding;"GO:0005832;GO:0005829;GO:0005634";"chaperonin-containing T-complex;cytosol;nucleus";GO:0051082;unfolded protein binding;GO:0006457;protein folding;null
PF3D7_0609400;PF3D7_0609400.1;Plasmodium falciparum 3D7;mitochondrial cardiolipin synthase, putative;CLS;null;GO:0003824;catalytic activity;null;null;null;null;null;null;null;null;null
PF3D7_0609600;PF3D7_0609600.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0610100;PF3D7_0610100.1;Plasmodium falciparum 3D7;pre-mRNA-splicing factor SLU7, putative;SLU7;null;null;null;null;null;GO:0005681;spliceosomal complex;null;null;"GO:0008380;GO:0000375;GO:0000350";"RNA splicing;RNA splicing, via transesterification reactions;generation of catalytic spliceosome for second transesterification step";null
PF3D7_0610300;PF3D7_0610300.1;Plasmodium falciparum 3D7;non-coding RNA;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0610500;PF3D7_0610500.1;Plasmodium falciparum 3D7;peptidyl-tRNA hydrolase PTRHD1, putative;null;null;GO:0004045;aminoacyl-tRNA hydrolase activity;null;null;null;null;null;null;null;null;null
PF3D7_0610600;PF3D7_0610600.1;Plasmodium falciparum 3D7;calcium-dependent protein kinase 2;CDPK2;null;"GO:0005524;GO:0005509;GO:0004672";"ATP binding;calcium ion binding;protein kinase activity";GO:0006468;protein phosphorylation;null;null;GO:0009931;calcium-dependent protein serine/threonine kinase activity;"GO:0009405;GO:0006468";"pathogenesis;protein phosphorylation";null
PF3D7_0611300;PF3D7_0611300.1;Plasmodium falciparum 3D7;ATP synthase-associated protein, putative;null;null;null;null;null;null;"GO:0005739;GO:0005634";"mitochondrion;nucleus";null;null;null;null;null
PF3D7_0611600;PF3D7_0611600.1;Plasmodium falciparum 3D7;basal complex transmembrane protein 1;BTP1;null;null;null;null;null;"GO:0045178;GO:0070258";"basal part of cell;inner membrane pellicle complex";null;null;null;null;null
PF3D7_0612000;PF3D7_0612000.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"integral component of membrane;membrane";null;null;GO:0006810;transport;null;null;null;null;null;null;"GO:0016021;GO:0016020"
PF3D7_0612300;PF3D7_0612300.1;Plasmodium falciparum 3D7;transmembrane protein 234, putative;TMEM234;"integral component of membrane;membrane";null;null;null;null;null;null;null;null;null;null;"GO:0016021;GO:0016020"
PF3D7_0612700;PF3D7_0612700.1;Plasmodium falciparum 3D7;6-cysteine protein P12;P12;null;null;null;null;null;"GO:0046658;GO:0009986;GO:0020008;GO:0020004";"anchored component of plasma membrane;cell surface;rhoptry;symbiont-containing vacuolar space";GO:0005515;protein binding;GO:0044409;entry into host;null
PF3D7_0613000;PF3D7_0613000.2;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0613500;PF3D7_0613500.1;Plasmodium falciparum 3D7;AP-3 complex subunit beta, putative;null;membrane coat;GO:0005488;binding;"GO:0006886;GO:0016192";"intracellular protein transport;vesicle-mediated transport";GO:0030123;AP-3 adaptor complex;null;null;GO:0016192;vesicle-mediated transport;GO:0030117
PF3D7_0613700;PF3D7_0613700.1;Plasmodium falciparum 3D7;syntaxin-binding protein, putative;null;null;null;null;"GO:0006904;GO:0016192";"vesicle docking involved in exocytosis;vesicle-mediated transport";GO:0005634;nucleus;null;null;null;null;null
PF3D7_0613900;PF3D7_0613900.1;Plasmodium falciparum 3D7;myosin E, putative;MyoE;myosin complex;"GO:0005524;GO:0003774";"ATP binding;motor activity";null;null;"GO:0045178;GO:0005829;GO:0016459;GO:0005634";"basal part of cell;cytosol;myosin complex;nucleus";GO:0005524;ATP binding;GO:0048870;cell motility;GO:0016459
PF3D7_0614800;PF3D7_0614800.1;Plasmodium falciparum 3D7;endonuclease III-like protein 1, putative;NTHL1;null;"GO:0051539;GO:0003677;GO:0003824";"4 iron, 4 sulfur cluster binding;DNA binding;catalytic activity";"GO:0006281;GO:0006284";"DNA repair;base-excision repair";null;null;GO:0004519;endonuclease activity;GO:0006281;DNA repair;null
PF3D7_0615000;PF3D7_0615000.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_0615300;PF3D7_0615300.1;Plasmodium falciparum 3D7;GPI-anchored wall transfer protein 1, putative;GWT1;integral component of membrane;GO:0016746;transferase activity, transferring acyl groups;GO:0006506;GPI anchor biosynthetic process;GO:0016021;integral component of membrane;null;null;null;null;GO:0016021
PF3D7_0615400;PF3D7_0615400.1;Plasmodium falciparum 3D7;ribonuclease, putative;null;null;GO:0003723;RNA binding;null;null;GO:0005634;nucleus;GO:0004540;ribonuclease activity;GO:0006396;RNA processing;null
PF3D7_0615500;PF3D7_0615500.1;Plasmodium falciparum 3D7;cdc2-related protein kinase 5;CRK5;null;"GO:0005524;GO:0004672";"ATP binding;protein kinase activity";GO:0006468;protein phosphorylation;null;null;GO:0004693;cyclin-dependent protein serine/threonine kinase activity;"GO:0006468;GO:0051726";"protein phosphorylation;regulation of cell cycle";null
PF3D7_0615700;PF3D7_0615700.1;Plasmodium falciparum 3D7;THO complex subunit 4, putative;ALYREF;null;GO:0003676;nucleic acid binding;null;null;null;null;GO:0003723;RNA binding;GO:0006406;mRNA export from nucleus;null
PF3D7_0616200;PF3D7_0616200.1;Plasmodium falciparum 3D7;kinetochore protein NDC80, putative;NDC80;null;null;null;null;null;"GO:0031262;GO:0000775;GO:0005634";"Ndc80 complex;chromosome, centromeric region;nucleus";null;null;GO:0007059;chromosome segregation;null
PF3D7_0616500;PF3D7_0616500.1;Plasmodium falciparum 3D7;TRAP-like protein;TLP;null;null;null;null;null;GO:0016021;integral component of membrane;null;null;"GO:0048870;GO:0044409";"cell motility;entry into host";null
PF3D7_0617000;PF3D7_0617000.1;Plasmodium falciparum 3D7;mitochondrial import receptor subunit TOM40, putative;TOM40;mitochondrial outer membrane;null;null;GO:0055085;transmembrane transport;"GO:0005742;GO:0005739";"mitochondrial outer membrane translocase complex;mitochondrion";GO:0008320;protein transmembrane transporter activity;GO:0030150;protein import into mitochondrial matrix;GO:0005741
PF3D7_0617600;PF3D7_0617600.1;Plasmodium falciparum 3D7;stevor;null;null;null;null;null;null;"GO:0020036;GO:0033644";"Maurer's cleft;host cell membrane";null;null;GO:0020013;modulation by symbiont of host erythrocyte aggregation;null
PF3D7_0617700;PF3D7_0617700.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;"GO:0020036;GO:0020002;GO:0020003";"Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole";null;null;"GO:0020033;GO:0020035;GO:0020013";"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation";null
PF3D7_0618500;PF3D7_0618500.1;Plasmodium falciparum 3D7;malate dehydrogenase;MDH;null;"GO:0003824;GO:0016491;GO:0016616";"catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";"GO:0005975;GO:0019752;GO:0055114";"carbohydrate metabolic process;carboxylic acid metabolic process;oxidation-reduction process";GO:0005829;cytosol;GO:0030060;L-malate dehydrogenase activity;GO:0006099;tricarboxylic acid cycle;null
PF3D7_0619900;PF3D7_0619900.1;Plasmodium falciparum 3D7;splicing factor 3A subunit 2, putative;SF3A2;nucleus;"GO:0003676;GO:0008270";"nucleic acid binding;zinc ion binding";null;null;GO:0005681;spliceosomal complex;null;null;GO:0008380;RNA splicing;GO:0005634
PF3D7_0620200;PF3D7_0620200.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;"cytoplasm;intracellular";GO:0000166;nucleotide binding;GO:0006412;translation;null;null;null;null;null;null;"GO:0005737;GO:0005622"
PF3D7_0620600;PF3D7_0620600.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0620900;PF3D7_0620900.1;Plasmodium falciparum 3D7;tRNA Leucine;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0621100;PF3D7_0621100.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;cytoplasm;GO:0005515;protein binding;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_0621350;PF3D7_0621350.1;Plasmodium falciparum 3D7;protein SYS1, putative;SYS1;null;null;null;null;null;GO:0016021;integral component of membrane;null;null;"GO:0006895;GO:0000042";"Golgi to endosome transport;protein targeting to Golgi";null
PF3D7_0621400;PF3D7_0621400.1;Plasmodium falciparum 3D7;Pf77 protein;ALV7;null;null;null;null;null;GO:0070258;inner membrane pellicle complex;null;null;null;null;null
PF3D7_0621800;PF3D7_0621800.1;Plasmodium falciparum 3D7;nascent polypeptide-associated complex subunit alpha, putative;null;nascent polypeptide-associated complex;null;null;null;null;"GO:0005854;GO:0005634";"nascent polypeptide-associated complex;nucleus";null;null;GO:0051083;'de novo' cotranslational protein folding;GO:0005854
PF3D7_0622200;PF3D7_0622200.1;Plasmodium falciparum 3D7;radical SAM protein, putative;null;null;"GO:0051539;GO:0003824;GO:0051536;GO:0016740";"4 iron, 4 sulfur cluster binding;catalytic activity;iron-sulfur cluster binding;transferase activity";GO:0006400;tRNA modification;GO:0020011;apicoplast;null;null;null;null;null
PF3D7_0622500;PF3D7_0622500.1;Plasmodium falciparum 3D7;RNA methyltransferase, putative;null;null;GO:0008168;methyltransferase activity;GO:0006364;rRNA processing;null;null;GO:0008173;RNA methyltransferase activity;null;null;null
PF3D7_0622600;PF3D7_0622600.1;Plasmodium falciparum 3D7;cytochrome b-c1 complex subunit 9, putative;QCR9;"mitochondrial inner membrane;mitochondrial respiratory chain complex III";null;null;GO:0006122;mitochondrial electron transport, ubiquinol to cytochrome c;null;null;null;null;null;null;"GO:0005743;GO:0005750"
PF3D7_0623000;PF3D7_0623000.1;Plasmodium falciparum 3D7;chorismate synthase;CS;null;GO:0004107;chorismate synthase activity;GO:0009073;aromatic amino acid family biosynthetic process;GO:0005829;cytosol;"GO:0010181;GO:0003959;GO:0004107";"FMN binding;NADPH dehydrogenase activity;chorismate synthase activity";"GO:0009423;GO:0033587";"chorismate biosynthetic process;shikimate biosynthetic process";null
PF3D7_0623100;PF3D7_0623100.1;Plasmodium falciparum 3D7;nuclear polyadenylated RNA-binding protein NAB2, putative;NAB2;null;GO:0046872;metal ion binding;null;null;GO:0005634;nucleus;null;null;null;null;null
PF3D7_0623700;PF3D7_0623700.1;Plasmodium falciparum 3D7;ATP-dependent RNA helicase SUV3, putative;SUV3;null;GO:0016817;hydrolase activity, acting on acid anhydrides;null;null;null;null;GO:0003724;RNA helicase activity;GO:0006401;RNA catabolic process;null
PF3D7_0624200;PF3D7_0624200.1;Plasmodium falciparum 3D7;SURP domain-containing protein, putative;null;null;GO:0003723;RNA binding;GO:0006396;RNA processing;null;null;null;null;null;null;null
PF3D7_0624400;PF3D7_0624400.1;Plasmodium falciparum 3D7;conserved protein, unknown function;null;cytoplasm;GO:0000166;nucleotide binding;null;null;GO:0020011;apicoplast;null;null;null;null;GO:0005737
PF3D7_0624500;PF3D7_0624500.1;Plasmodium falciparum 3D7;anaphase-promoting complex subunit 11, putative;APC11;anaphase-promoting complex;GO:0004842;ubiquitin-protein transferase activity;null;null;GO:0005680;anaphase-promoting complex;null;null;null;null;GO:0005680
PF3D7_0624600;PF3D7_0624600.1;Plasmodium falciparum 3D7;SNF2 helicase, putative;ISWI;null;GO:0005524;ATP binding;null;null;GO:0005634;nucleus;GO:0003723;RNA binding;GO:0006338;chromatin remodeling;null
PF3D7_0624900;PF3D7_0624900.1;Plasmodium falciparum 3D7;GAS8-like protein, putative;null;"cytoplasm;motile cilium";null;null;GO:0048870;cell motility;null;null;null;null;null;null;"GO:0005737;GO:0031514"
PF3D7_0625400;PF3D7_0625400.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;cytoplasm;GO:0005524;ATP binding;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_0625800;PF3D7_0625800.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_0626200;PF3D7_0626200.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0626400;PF3D7_0626400.1;Plasmodium falciparum 3D7;CRAL/TRIO domain-containing protein, putative;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0626500;PF3D7_0626500.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0626900;PF3D7_0626900.1;Plasmodium falciparum 3D7;ribosomal protein L46, mitochondrial, putative;null;null;GO:0003735;structural constituent of ribosome;null;null;null;null;null;null;null;null;null
PF3D7_0627000;PF3D7_0627000.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_0627300;PF3D7_0627300.1;Plasmodium falciparum 3D7;E3 ubiquitin-protein ligase RNF5, putative;RNF5;null;null;null;null;null;null;null;GO:0008270;zinc ion binding;null;null;null
PF3D7_0627400;PF3D7_0627400.1;Plasmodium falciparum 3D7;mitochondrial import inner membrane translocase subunit TIM22, putative;TIM22;null;null;null;null;null;GO:0042721;TIM22 mitochondrial import inner membrane insertion complex;GO:0008320;protein transmembrane transporter activity;GO:0045039;protein import into mitochondrial inner membrane;null
PF3D7_0627600;PF3D7_0627600.1;Plasmodium falciparum 3D7;conserved Plasmodium protein, unknown function;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0629400;PF3D7_0629400.1;Plasmodium falciparum 3D7;polyadenylate-binding protein 3, putative;PABP3;null;GO:0003676;nucleic acid binding;null;null;GO:0005634;nucleus;GO:0003729;mRNA binding;null;null;null
PF3D7_0629700;PF3D7_0629700.1;Plasmodium falciparum 3D7;SET domain protein, putative;SET1;null;GO:0005515;protein binding;null;null;GO:0005634;nucleus;GO:0019904;protein domain specific binding;null;null;null
